doy,P_mm,PET_mm
254,0.0,3.878
255,0.0,3.84
256,0.0,3.801
257,0.0,3.763
258,2.92,3.723
259,3.33,3.684
260,0.0,3.644
261,0.0,3.604
262,0.0,3.564
263,0.0,3.524
264,1.98,3.483
265,0.0,3.442
266,0.0,3.401
267,5.08,3.359
268,0.0,3.318
269,5.01,3.276
270,0.0,3.234
271,0.0,3.192
272,0.0,3.149
273,0.0,3.107
274,0.0,3.064
275,0.0,3.022
276,0.0,2.979
277,0.0,2.936
278,5.24,2.893
279,12.2,2.851
280,8.23,2.808
281,0.0,2.765
282,0.0,2.722
283,9.07,2.678
284,0.0,2.635
285,0.0,2.592
286,0.0,2.549
287,0.0,2.507
288,0.0,2.464
289,0.0,2.421
290,0.0,2.378
291,0.0,2.336
292,0.0,2.293
293,0.0,2.251
294,0.0,2.208
295,0.0,2.166
296,0.0,2.124
297,0.0,2.082
298,10.37,2.041
299,0.0,1.999
300,0.0,1.958
301,11.39,1.917
302,0.0,1.876
303,0.0,1.836
304,0.0,1.796
305,0.0,1.756
306,0.0,1.716
307,0.0,1.677
308,0.0,1.637
309,0.0,1.599
310,2.89,1.56
311,0.0,1.522
312,0.0,1.484
313,0.0,1.447
314,0.0,1.41
315,0.0,1.373
316,0.0,1.337
317,0.0,1.301
318,0.0,1.266
319,0.0,1.231
320,0.0,1.196
321,0.0,1.162
322,0.0,1.128
323,10.76,1.095
324,0.0,1.062
325,0.0,1.03
326,0.0,0.998
327,0.0,0.967
328,0.0,0.936
329,0.0,0.906
330,0.0,0.876
331,0.0,0.847
332,0.0,0.818
333,0.0,0.79
334,0.0,0.763
335,0.0,0.736
336,0.0,0.71
337,0.0,0.684
338,0.0,0.659
339,0.0,0.634
340,0.0,0.61
341,0.0,0.587
342,0.0,0.564
343,0.0,0.542
344,0.0,0.521
345,0.0,0.5
346,0.0,0.48
347,0.0,0.46
348,0.0,0.442
349,0.0,0.423
350,0.0,0.406
351,0.0,0.389
352,0.0,0.373
353,0.0,0.358
354,0.0,0.343
355,0.0,0.329
356,0.0,0.316
357,0.0,0.303
358,0.0,0.291
359,0.0,0.28
360,0.0,0.27
361,0.0,0.26
362,0.0,0.251
363,0.0,0.243
364,0.0,0.235
365,0.0,0.228
