doy,P_mm,PET_mm
235,0.0,4.605
236,0.0,4.579
237,0.0,4.552
238,0.0,4.525
239,0.0,4.498
240,0.0,4.47
241,0.0,4.441
242,0.0,4.413
243,0.0,4.383
244,0.0,4.354
245,0.0,4.324
246,0.0,4.293
247,0.0,4.262
248,0.0,4.231
249,0.0,4.2
250,0.0,4.168
251,0.0,4.135
252,0.0,4.103
253,0.0,4.07
254,0.0,4.037
255,0.0,4.003
256,0.0,3.969
257,0.0,3.935
258,0.0,3.901
259,0.0,3.866
260,0.0,3.831
261,0.0,3.796
262,0.0,3.76
263,0.0,3.725
264,0.0,3.689
265,0.0,3.653
266,0.0,3.617
267,0.0,3.58
268,0.0,3.543
269,0.0,3.507
270,0.0,3.47
271,0.0,3.433
272,0.0,3.395
273,0.0,3.358
274,0.0,3.321
275,0.0,3.283
276,0.0,3.246
277,0.0,3.208
278,0.0,3.17
279,0.0,3.132
280,0.0,3.095
281,0.0,3.057
282,0.0,3.019
283,0.0,2.981
284,0.0,2.943
285,0.0,2.905
286,0.0,2.868
287,0.0,2.83
288,0.0,2.792
289,0.0,2.754
290,0.0,2.717
291,0.0,2.679
292,0.0,2.642
293,0.0,2.605
294,0.0,2.567
295,0.0,2.53
296,0.0,2.493
297,0.0,2.457
298,0.0,2.42
299,0.0,2.383
300,0.0,2.347
301,0.0,2.311
302,0.0,2.275
303,0.0,2.24
304,0.0,2.204
305,0.0,2.169
306,0.0,2.134
307,0.0,2.099
308,0.0,2.065
309,0.0,2.031
310,0.0,1.997
311,0.0,1.963
312,0.0,1.93
313,0.0,1.897
314,0.0,1.865
315,0.0,1.832
316,0.0,1.8
317,0.0,1.769
318,0.0,1.738
319,0.0,1.707
320,0.0,1.676
321,0.0,1.646
322,0.0,1.617
323,0.0,1.587
324,0.0,1.559
325,0.0,1.53
326,0.0,1.502
327,0.0,1.475
328,0.0,1.448
329,0.0,1.421
330,0.0,1.395
331,0.0,1.369
332,0.0,1.344
333,0.0,1.319
334,0.0,1.295
335,0.0,1.272
336,0.0,1.248
337,0.0,1.226
338,0.0,1.204
339,0.0,1.182
340,0.0,1.161
341,0.0,1.14
342,0.0,1.12
343,0.0,1.101
344,0.0,1.082
345,0.0,1.064
346,0.0,1.046
347,0.0,1.029
348,0.0,1.013
349,0.0,0.997
350,0.0,0.981
351,0.0,0.967
352,0.0,0.952
353,0.0,0.939
354,0.0,0.926
355,0.0,0.914
356,0.0,0.902
357,0.0,0.891
358,0.0,0.88
359,0.0,0.871
360,0.0,0.861
361,0.0,0.853
362,0.0,0.845
363,0.0,0.838
364,0.0,0.831
365,0.0,0.825
