doy,P_mm,PET_mm
180,14.68,5.253
181,0.0,5.261
182,7.26,5.268
183,8.03,5.275
184,0.0,5.281
185,6.54,5.286
186,0.0,5.29
187,9.67,5.293
188,1.9,5.296
189,0.0,5.298
190,8.28,5.299
191,6.43,5.3
192,8.4,5.3
193,0.0,5.299
194,0.0,5.297
195,5.92,5.295
196,6.69,5.292
197,3.72,5.288
198,0.0,5.283
199,0.0,5.278
200,14.82,5.272
201,3.18,5.265
202,0.0,5.257
203,2.66,5.249
204,6.48,5.24
205,9.28,5.23
206,6.49,5.22
207,3.33,5.209
208,0.0,5.197
209,16.03,5.184
210,9.62,5.171
211,0.0,5.157
212,4.14,5.142
213,0.0,5.127
214,7.56,5.111
215,0.0,5.094
216,0.0,5.077
217,5.79,5.058
218,0.0,5.04
219,0.0,5.02
220,9.36,5.0
221,9.22,4.979
222,13.38,4.958
223,17.82,4.936
224,15.15,4.913
225,4.07,4.89
226,0.0,4.866
227,0.0,4.841
228,0.0,4.816
229,0.0,4.79
230,0.0,4.764
231,0.0,4.737
232,0.0,4.71
233,0.0,4.682
234,0.0,4.653
235,5.55,4.624
236,0.0,4.594
237,5.9,4.564
238,0.0,4.533
239,0.0,4.502
240,0.0,4.47
241,8.52,4.438
242,0.0,4.405
243,4.77,4.372
244,0.0,4.338
245,7.33,4.304
246,0.0,4.269
247,1.91,4.234
248,9.52,4.199
249,0.0,4.163
250,0.0,4.127
251,0.0,4.09
252,0.0,4.053
253,8.78,4.016
254,0.0,3.978
255,0.0,3.94
256,0.0,3.901
257,9.16,3.863
258,0.0,3.823
259,0.0,3.784
260,0.0,3.744
261,2.57,3.704
262,0.0,3.664
263,0.0,3.624
264,11.2,3.583
265,0.0,3.542
266,0.0,3.501
267,0.0,3.459
268,7.13,3.418
269,0.0,3.376
270,0.0,3.334
271,0.0,3.292
272,0.0,3.249
273,0.0,3.207
274,0.0,3.164
275,3.24,3.122
276,0.0,3.079
277,0.0,3.036
278,0.0,2.993
279,0.0,2.951
280,0.0,2.908
281,0.0,2.865
282,13.06,2.822
283,0.0,2.778
284,0.0,2.735
285,0.0,2.692
286,0.0,2.649
287,0.0,2.607
288,0.0,2.564
289,0.0,2.521
290,0.0,2.478
291,0.0,2.436
292,0.0,2.393
293,0.0,2.351
294,0.0,2.308
295,0.0,2.266
296,0.0,2.224
297,0.0,2.182
298,0.0,2.141
299,0.0,2.099
300,0.0,2.058
301,5.28,2.017
302,0.0,1.976
303,0.0,1.936
304,0.0,1.896
305,0.0,1.856
306,0.0,1.816
307,0.0,1.777
308,0.0,1.737
309,8.26,1.699
310,0.0,1.66
311,0.0,1.622
312,0.0,1.584
313,0.0,1.547
314,0.0,1.51
315,0.0,1.473
316,0.0,1.437
317,0.0,1.401
318,5.01,1.366
319,0.0,1.331
320,0.0,1.296
321,0.0,1.262
322,0.0,1.228
323,0.0,1.195
324,0.0,1.162
325,0.0,1.13
326,0.0,1.098
327,0.0,1.067
328,0.0,1.036
329,0.0,1.006
330,0.0,0.976
331,0.0,0.947
332,0.0,0.918
333,0.0,0.89
334,0.0,0.863
335,0.0,0.836
336,0.0,0.81
337,0.0,0.784
338,0.0,0.759
339,0.0,0.734
340,0.0,0.71
341,0.0,0.687
342,0.0,0.664
343,0.0,0.642
344,0.0,0.621
345,0.0,0.6
346,0.0,0.58
347,0.0,0.56
348,0.0,0.542
349,0.0,0.523
350,0.0,0.506
351,0.0,0.489
352,0.0,0.473
353,0.0,0.458
354,0.0,0.443
355,0.0,0.429
356,0.0,0.416
357,0.0,0.403
358,0.0,0.391
359,0.0,0.38
360,0.0,0.37
361,0.0,0.36
362,0.0,0.351
363,0.0,0.343
364,0.0,0.335
365,0.0,0.328
