doy,P_mm,PET_mm
288,0.0,2.754
289,0.0,2.71
290,0.0,2.665
291,0.0,2.621
292,0.0,2.577
293,0.0,2.533
294,4.97,2.489
295,0.0,2.445
296,0.0,2.401
297,0.0,2.358
298,0.0,2.314
299,0.0,2.271
300,0.0,2.229
301,0.0,2.186
302,0.0,2.144
303,0.0,2.101
304,0.0,2.06
305,0.0,2.018
306,0.0,1.977
307,0.0,1.936
308,6.83,1.895
309,0.0,1.855
310,0.0,1.815
311,0.0,1.775
312,0.0,1.736
313,0.0,1.697
314,0.0,1.658
315,0.0,1.62
316,0.0,1.582
317,0.0,1.545
318,0.0,1.508
319,0.0,1.472
320,0.0,1.436
321,0.0,1.4
322,0.0,1.365
323,0.0,1.331
324,0.0,1.297
325,0.0,1.263
326,0.0,1.23
327,0.0,1.197
328,0.0,1.165
329,0.0,1.134
330,0.0,1.103
331,0.0,1.073
332,0.0,1.043
333,0.0,1.014
334,0.0,0.985
335,0.0,0.957
336,0.0,0.93
337,0.0,0.903
338,0.0,0.877
339,0.0,0.851
340,0.0,0.827
341,0.0,0.802
342,0.0,0.779
343,0.0,0.756
344,0.0,0.734
345,0.0,0.712
346,0.0,0.691
347,0.0,0.671
348,0.0,0.651
349,0.0,0.632
350,0.0,0.614
351,0.0,0.597
352,0.0,0.58
353,0.0,0.564
354,0.0,0.549
355,0.0,0.534
356,0.0,0.52
357,0.0,0.507
358,0.0,0.495
359,0.0,0.483
360,0.0,0.472
361,0.0,0.462
362,0.0,0.453
363,0.0,0.444
364,0.0,0.437
365,0.0,0.429
