doy,P_mm,PET_mm
329,0.0,2.208
330,0.0,2.187
331,0.0,2.166
332,0.0,2.145
333,0.0,2.125
334,0.0,2.105
335,0.0,2.086
336,0.0,2.067
337,0.0,2.048
338,0.0,2.03
339,0.0,2.013
340,0.0,1.995
341,0.0,1.979
342,0.0,1.962
343,11.07,1.946
344,8.19,1.931
345,0.0,1.916
346,10.69,1.901
347,0.0,1.887
348,0.0,1.874
349,0.0,1.861
350,0.0,1.848
351,0.0,1.836
352,0.0,1.825
353,0.0,1.814
354,0.0,1.803
355,0.0,1.793
356,0.0,1.783
357,0.0,1.774
358,0.0,1.766
359,0.0,1.758
360,0.0,1.75
361,0.0,1.743
362,0.0,1.737
363,2.18,1.731
364,0.0,1.725
365,10.35,1.72
